Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Low, Jeok Chai",SGP,263,1206,1339,01:19:20,07:05:15,07:28:06,16:26:26,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Gim, Gyoung-Un",KOR,264,1207,1340,01:50:36,08:18:44,05:56:49,16:26:28,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Kim, Kyung-Rae",KOR,265,1214,1349,01:40:22,07:02:40,07:14:02,16:28:47,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Jason, Tan Heng Hock",SGP,266,1215,1350,01:23:47,08:00:01,06:35:46,16:29:17,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Joo, Deuk-Kyun",KOR,267,1216,1352,01:59:33,07:01:03,06:58:55,16:30:15,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"ประหยัดรันเนอร์, เตยตี้",THA,268,1236,1379,01:32:37,07:53:25,06:47:49,16:42:22,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Munkhem, Navin",THA,269,1245,1390,01:38:33,07:31:17,07:23:30,16:48:26,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Zhou, Guojian",CHN,270,1246,1391,01:39:01,08:01:23,06:45:51,16:48:59,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Min, Jesik",KOR,271,1248,1393,01:17:29,08:26:52,06:46:56,16:51:06,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"C, Rike",IND,272,1250,1395,01:32:58,08:31:38,06:17:34,16:52:10,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"JIANG, JIAN LONG",CHN,273,1255,1401,01:45:54,07:15:54,07:24:48,16:55:12,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Jung, Keum-Nam",KOR,274,1259,1405,01:33:22,08:22:56,06:34:50,16:58:50,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Adnan, Samsul",MYS,---,---,---,01:54:41,07:34:29,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Baiphowongse, Nuttanop",THA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Banusing, Augusto",PHL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Choi, Byung Wook",KOR,---,---,---,01:12:18,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"CHOI, NAM JO",KOR,---,---,---,01:23:44,---,---,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Choi, Seung Wook",KOR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Consunji, Victor",PHL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
"Jalanugraha, Charut",THA,---,---,---,01:49:00,08:20:30,06:29:40,DNF,---,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,40-44
