Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Tann, Allen",TWN,108,596,680,00:12:45,08:20:17,06:26:33,15:19:02,1000,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Hsu, Pin-Chao",TWN,109,597,681,00:11:57,08:16:15,06:31:10,15:21:10,1000,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Babol, Jeff Samuel",PHL,---,---,---,00:11:14,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Chang, Chengyu",TWN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Chen, Huangchung",TWN,---,---,---,00:10:44,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Chou, Rambo",TWN,---,---,---,00:14:21,07:53:56,07:33:07,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Chuang, Zhi-Qin",TWN,---,---,---,00:10:24,06:20:48,04:49:13,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Couturier, Gaël",ITA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Era, Shiroh",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"He, Zhongguang",CHN,---,---,---,00:10:23,07:27:47,05:06:39,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Hsu, Jeffery",TWN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"HSUEH, MIN-CHIEH",TWN,---,---,---,00:11:44,07:37:16,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Imaizumi, Keita",JPN,---,---,---,00:09:54,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Ishizu, Koichi",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Iwama, Yasushi",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Iwasa, Takuji",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Jagwani, Gopal",IND,---,---,---,00:16:35,06:50:18,06:00:00,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Jeong, Min Cheol",KOR,---,---,---,---,---,---,DQ,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Kaneko, Tadashi",JPN,---,---,---,00:12:08,08:23:27,05:47:59,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Kay Wai, Tung",SGP,---,---,---,00:10:12,07:44:52,07:05:23,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Kinugasa, Motoyuki",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Lee, Tang Pan",TWN,---,---,---,00:11:40,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Lin, Kuo-Shu",TWN,---,---,---,00:10:18,---,04:40:10,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Lin, Tung Hsuan",TWN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Makino, Ryosuke",JPN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Mei, Chee Seong",MYS,---,---,---,00:12:11,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Pyo, Seho",KOR,---,---,---,00:15:46,07:55:06,02:56:57,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Sakai, Sam",JPN,---,---,---,00:08:39,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Su, Yen-Chang",TWN,---,---,---,00:10:18,06:35:32,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Weng, Zhen-Min",TWN,---,---,---,00:13:17,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Widmer, Markus",CHE,---,---,---,00:07:35,---,---,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"戚, 军",CHN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"陈, 国胜",CHN,---,---,---,00:13:24,---,05:55:50,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,45-49
"Romano, Paolo",ITA,1,28,36,00:07:22,05:16:00,03:44:34,09:17:21,5000,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Toyokawa, Hideki",JPN,2,33,41,00:08:17,05:27:48,03:35:07,09:20:42,4959,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Weber, Frank",DEU,3,40,49,00:09:52,05:26:46,03:43:09,09:28:05,4871,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Buchanan, Trevor",AUS,4,49,59,00:08:29,05:32:28,03:47:21,09:37:31,4758,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Yoshimura, Naoto",JPN,5,51,61,00:08:53,05:39:37,03:39:58,09:37:42,4755,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Laurent, Romano",FRA,6,71,82,00:07:48,05:21:46,04:15:01,09:56:17,4532,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Sato, Masaaki",JPN,7,76,87,00:08:58,05:47:18,03:53:07,10:00:04,4487,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Kawahara, Hirokazu",JPN,8,78,89,00:07:42,05:48:48,03:54:58,10:02:00,4464,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Casey, Dan",AUS,9,80,92,00:08:45,05:23:51,04:12:51,10:02:45,4455,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Morange, Jean-Marc",FRA,10,83,95,00:06:54,05:20:04,04:25:43,10:03:46,4443,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Wood, Simon",GBR,11,84,96,00:06:43,05:38:22,04:08:38,10:03:54,4441,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Ueno, Yoshihiro",JPN,12,91,106,00:08:37,05:48:40,04:05:46,10:13:25,4327,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Teuber, Till",DEU,13,104,121,00:07:07,05:53:01,04:13:37,10:21:20,4232,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Hardcastle, Thomas",HKG,14,108,126,00:07:52,06:06:48,04:01:09,10:23:49,4202,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Su, Jen Liang",TWN,15,116,135,00:09:06,06:06:50,04:03:45,10:29:33,4133,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Wilson, Scott",AUS,16,118,137,00:07:37,06:02:52,04:08:59,10:30:16,4125,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Wada, Tomohiro",JPN,17,123,144,00:08:54,05:58:36,04:11:39,10:34:29,4074,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Raman, Yair",ISR,18,126,148,00:08:37,05:46:51,04:30:01,10:35:40,4060,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Oda, Satoshi",JPN,19,134,159,00:07:43,06:12:03,04:10:32,10:44:02,3959,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Hsu, Chin-Wen",TWN,20,144,170,00:10:18,06:03:52,04:25:02,10:47:46,3915,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
"Ishigaki, Masaru",JPN,21,153,181,00:10:48,06:13:22,04:18:49,10:57:00,3804,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,50-54
